number,value,state,n_neurons,n_hidden_layers,activation,learning_rate,weight_decay,scheduler_gamma,weight_pde,weight_pressure_ref,epochs
0,24.5430985311893,COMPLETE,80,5,tanh,0.004130951236572826,1.177233383029771e-07,0.99977208982959,35.730876050408654,26287.111939862523,6000
1,25.43922665249949,COMPLETE,48,5,tanh,0.003975577356894325,2.731369007011477e-07,0.999787929514618,60.16273129019318,28721.066166080793,8000
2,25.618763778632296,COMPLETE,80,4,tanh,0.003107989952147074,1.3842708332914944e-07,0.9997403978455278,47.43270516539725,22635.063969408242,7500
3,22.426541312164357,COMPLETE,80,4,gelu,0.0034441236180247797,2.0413916159841284e-07,0.9996789461959323,33.94861569451611,24939.854705508624,6000
4,22.679231180556428,COMPLETE,80,6,gelu,0.003185202854509925,5.951588455968527e-06,0.9995666637333203,65.75859388249552,22221.594118245863,6500
5,21.56106663367265,COMPLETE,48,5,gelu,0.0047463750947035095,1.393863365789993e-07,0.9996408323287327,68.4315954397526,18963.00856182408,5500
6,23.55136214913757,COMPLETE,96,5,gelu,0.003673166010224024,2.638774701733147e-06,0.9995515789326358,95.8209351877603,28265.03633737578,6500
7,inf,COMPLETE,96,4,tanh,0.0019552456897093894,1.5002410568675883e-07,0.9997951719796296,87.95381278522913,28767.036574112233,8000
8,inf,COMPLETE,80,6,tanh,0.002374401285764723,2.4540574931270096e-07,0.9995921185283559,83.11818019245234,17635.093758936207,6000
9,22.275753168541225,COMPLETE,96,5,gelu,0.0035497111228842727,1.1337554841530462e-07,0.9997424810629071,66.14645537012055,27398.575853302264,7000
10,20.966838167208973,COMPLETE,48,6,gelu,0.0011104054206666845,7.682407390735006e-07,0.9996374135664361,76.67024107059119,15224.513184151669,5000
11,22.823816506733085,COMPLETE,48,6,gelu,0.0010277137062034483,7.346990541105601e-07,0.9996408553261881,76.03312752772113,15663.57961308173,5000
12,inf,COMPLETE,48,6,gelu,0.001128601061135744,6.512606330085094e-07,0.999500508019444,54.228324710917356,18796.534787541616,5000
13,inf,COMPLETE,64,5,gelu,0.0014134066872577929,1.5523587335520422e-06,0.9996613648399553,74.05715520342005,15615.554696490843,5500
14,22.498125186848497,COMPLETE,64,6,gelu,0.0017568984845900833,4.382849622046686e-07,0.9996247601301647,75.63030776215298,19628.199194599027,5500
15,22.80866180854623,COMPLETE,64,5,gelu,0.004973798227125762,1.7055250419699134e-06,0.9996962777057465,99.55016394774145,17755.623680133605,5000
16,22.32900518298997,COMPLETE,48,6,gelu,0.0026161172076199926,8.487582432782547e-06,0.9996113576004708,48.96695138630925,20789.897947116442,5500
17,inf,COMPLETE,64,4,gelu,0.0015461734151024167,4.057481957701964e-07,0.9997054137606449,84.03903205587238,15138.104733353888,5500
18,inf,COMPLETE,48,5,gelu,0.0013180066851226425,3.634086882359529e-06,0.9995860697354115,69.01318212978259,17047.849234678753,5000
19,22.56131019642432,COMPLETE,48,6,gelu,0.004996435162033882,1.1018025272060828e-06,0.9995414029079882,56.96748879352942,20952.26780325306,6000
20,inf,COMPLETE,64,5,gelu,0.002688469464498161,4.6473653861365743e-07,0.9996553047235773,92.09638655100355,16805.19058235205,7000
21,inf,COMPLETE,96,5,gelu,0.00444819952207391,1.7720027241309353e-07,0.999733874514566,68.64705485883884,24966.307072910087,7000
22,22.252557537716527,COMPLETE,96,5,gelu,0.001943055850224491,1.0713370842027373e-07,0.999723391228958,63.365326492956484,23248.919955734807,7000
23,inf,COMPLETE,48,5,gelu,0.002011595253831008,1.0118060028430185e-07,0.999702946676245,80.13696569717611,23359.423304091426,7500
24,inf,COMPLETE,64,5,gelu,0.0016490480276992634,2.987174544521039e-07,0.9996279676010804,51.72649944847662,19367.90043971887,7500
25,inf,COMPLETE,48,4,gelu,0.0013208538490826094,6.849694545494607e-07,0.9996765432116645,44.54077275482,21166.738166508236,6500
26,inf,COMPLETE,64,6,tanh,0.0021626216514584414,3.324967503409516e-07,0.999603753144212,40.303548775229025,24563.719731424968,5500
27,inf,COMPLETE,96,5,gelu,0.0011669999172092239,1.91632641282567e-07,0.999714967060984,60.708237181484115,18791.891729194613,5000
28,inf,COMPLETE,48,5,gelu,0.0027876150162285357,9.748654949706264e-07,0.9996818615825942,26.955954086655616,23644.8883616444,7000
29,inf,COMPLETE,80,4,tanh,0.00233827320796318,1.0022822996091749e-07,0.9996430976284716,72.72220469601274,26805.205649498777,6000
30,21.476597557010958,COMPLETE,64,6,gelu,0.0018432608961134816,2.9557243892378047e-06,0.9997604580606502,63.08760311785433,16258.104927793294,6000
31,inf,COMPLETE,64,6,gelu,0.0018278773890317316,4.370246090553515e-06,0.9997668623711806,62.6159221984011,16383.887445154061,6000
32,inf,COMPLETE,48,6,gelu,0.0015833425124860674,1.6626356195328698e-06,0.9997645605034193,57.94075584222354,18030.96020171068,5500
33,20.62005035537214,COMPLETE,64,6,gelu,0.001425382524233939,2.4770927325517055e-06,0.9997256634948068,79.38607593042235,16230.840146388948,6500
34,inf,COMPLETE,64,6,tanh,0.0011759873543882504,2.54044994357617e-06,0.999753441112826,80.77647784397038,15937.09640555221,6000
35,19.10338843690791,COMPLETE,48,6,gelu,0.0014372730128060834,2.662397592938509e-06,0.9997803404377417,89.97755704154523,15154.558873835425,6500
36,22.27264619255776,COMPLETE,64,6,gelu,0.001452592389912891,2.3680306541027917e-06,0.9997822578937783,89.3632617321665,15289.04276185402,6500
37,inf,COMPLETE,80,6,gelu,0.0010239931720210718,3.817013167568821e-06,0.9997726556554308,85.77423074703444,16583.92599064113,6500
38,inf,COMPLETE,48,6,tanh,0.0012963394790723782,5.453233834777813e-06,0.9997956358200037,95.74184239267655,15019.011447753248,6500
39,22.467310871517185,COMPLETE,64,6,gelu,0.0014333743667093708,1.2349386425116892e-06,0.9997502082142573,79.30770275726833,17255.41656299626,7500
40,inf,COMPLETE,48,6,gelu,0.001238233867050242,9.462346820877998e-06,0.999728423907229,91.53195118440041,16206.781024961623,6500
41,21.60433328860996,COMPLETE,48,6,gelu,0.001724573642840929,2.2347457848849784e-06,0.9996696936350499,71.23543189445226,18277.036000309115,6000
42,inf,COMPLETE,48,6,gelu,0.0010924238068930388,3.225142077432311e-06,0.999781374290811,66.69329336941816,20010.02660762088,5500
43,inf,COMPLETE,80,6,gelu,0.003150892622886172,6.137502926470802e-06,0.9996293025380105,78.86729956886828,16086.41708141643,6500
44,inf,COMPLETE,48,6,gelu,0.0021419171420474824,2.157621259151471e-06,0.9997543487949189,76.94904335305003,18384.53886162599,5000
