number,value,state,n_neurons,n_hidden_layers,activation,learning_rate,weight_decay,scheduler_gamma,weight_pde,weight_pressure_ref,epochs
0,26.664312263900637,COMPLETE,80,5,tanh,0.0013353019818819387,1.5289227268960691e-06,0.9997823223691822,66.46542869106524,15188.765313660742,3000
1,23.078126212124484,COMPLETE,80,5,gelu,0.0018602307504308401,2.188663032396502e-06,0.9996213408614121,72.71798498242853,23296.011786179144,4000
2,28.400862493425617,COMPLETE,64,6,tanh,0.0012671224082956352,2.321870099278698e-07,0.9996163270744931,40.34575851628046,15423.21612185647,3500
3,29.516699309386183,COMPLETE,80,5,tanh,0.0012282500361599624,2.776813897123092e-06,0.9996621173079095,94.37680617829221,19800.981829689452,3000
4,22.227115837160124,COMPLETE,80,5,gelu,0.004654736797830726,1.1545141189271268e-06,0.9996847521852554,59.611129543645006,21460.53845497774,4000
5,inf,COMPLETE,64,4,tanh,0.001849353696363748,2.6390904716495265e-07,0.9997426961900766,66.56834492180235,22146.84847040519,4000
6,inf,COMPLETE,64,6,tanh,0.0030935780244198564,1.0894553870043143e-07,0.9997272118397164,95.93120742279336,18323.30610946776,4000
7,inf,COMPLETE,80,5,tanh,0.001259597314410963,4.386434303749662e-06,0.9997365530283085,81.72396430209608,15924.580210561464,4000
8,inf,COMPLETE,80,4,tanh,0.0028989109426630247,6.589500085938641e-06,0.9996471351130083,64.2512440864075,27332.169121502593,3000
9,23.12049517003638,COMPLETE,64,5,gelu,0.0016328644835999417,4.3888323049762025e-07,0.9995033711761196,63.75262431472439,29717.786767443067,3000
10,22.999400535733272,COMPLETE,96,6,gelu,0.004667053212261204,7.619088041357951e-07,0.9995511000849665,43.60993039265385,24949.014861379605,3500
11,23.08421640531027,COMPLETE,96,6,gelu,0.004826739028835335,8.085872868796238e-07,0.9995348527489867,43.451955140008074,24771.178613293792,3500
12,inf,COMPLETE,96,6,gelu,0.004991640200223226,8.095940196674272e-07,0.9995718713288307,28.553763344156906,25815.879293548165,3500
13,22.77445838308006,COMPLETE,48,4,gelu,0.003689717577549299,1.117132242503806e-06,0.9996812768793372,49.87492765487453,21154.24801471778,3500
14,22.89250562712739,COMPLETE,48,4,gelu,0.003451668696267226,1.4452151857482643e-06,0.999685866635134,51.71339159501679,20547.440263262535,3500
15,inf,COMPLETE,48,4,gelu,0.0037388449990181085,4.57071172828748e-07,0.9996991165599505,55.1279116151475,18389.05753917237,4000
16,inf,COMPLETE,48,4,gelu,0.0025148373779953115,3.129170761061008e-06,0.9997799098989466,26.859081577228004,21658.951161959343,3500
17,inf,COMPLETE,48,4,gelu,0.0038567679296200763,9.549150998581204e-06,0.9996966054863571,78.8432728213529,18141.916887260304,4000
18,inf,COMPLETE,64,5,gelu,0.004145968976603263,1.4776563201591522e-06,0.9996149335870748,53.61711228498409,19755.03496435761,3500
