number,value,state,n_neurons,n_hidden_layers,activation,learning_rate,weight_decay,scheduler_gamma,weight_pde,weight_pressure_ref,epochs
0,24.662099726808886,COMPLETE,48,4,tanh,0.0019310434946855782,7.402793483193187e-07,0.9996658823507957,73.44541052706853,18570.233916073117,5500
1,26.216661629274046,COMPLETE,96,4,tanh,0.0014111050092165415,4.521005780945363e-06,0.9995936248481766,79.37894701772036,29578.79109301441,7500
2,22.77564462637689,COMPLETE,80,5,gelu,0.0026345002247210934,2.9650795421465e-06,0.9996066518323212,60.41076544042411,20873.43132414037,7500
3,20.296908307345213,COMPLETE,80,6,gelu,0.004068392368878553,2.183935228011631e-06,0.9997575508785774,64.58569570195388,22298.39097065214,6500
4,22.467357456357195,COMPLETE,48,4,gelu,0.002956238617876547,2.3039180010477028e-07,0.9996611376615558,70.09726674351799,29098.57292886724,5000
5,inf,COMPLETE,80,4,tanh,0.0048689056299704644,8.909502911556142e-06,0.9997658911635506,67.550903516071,20085.779998103262,7500
6,inf,COMPLETE,64,4,gelu,0.0012773952473626084,5.305840681364883e-07,0.9997190701356279,98.16733206479753,15102.15474635482,5000
7,21.89782336706416,COMPLETE,96,4,gelu,0.0014777477737113038,1.8232725914529162e-07,0.9996128442023182,62.146983341691985,17911.47748184564,6500
8,inf,COMPLETE,48,5,tanh,0.001855937973174773,2.1376499153845342e-07,0.999780972430332,38.315059430348654,18224.87082864755,7500
9,inf,COMPLETE,96,4,gelu,0.004341444209255984,3.627476950546836e-07,0.9996144763570127,59.255285656565974,29748.272185823036,5500
10,22.856280605909912,COMPLETE,64,6,gelu,0.003174302238488627,1.8164810478318847e-06,0.9995063428309315,28.132324095663904,24397.44440572846,6500
11,22.433081186569392,COMPLETE,96,6,gelu,0.001045565016472539,1.2002495185132314e-07,0.9997056557523979,47.40781086933437,24572.56368935978,6500
12,inf,COMPLETE,80,6,gelu,0.0035531162702784054,1.3961593939834258e-06,0.999543176950037,88.88444330302205,15248.210020140767,6000
13,22.34705141097182,COMPLETE,96,5,gelu,0.002174977457768995,1.0278028759778336e-06,0.9997242470407882,52.87155544583827,23417.755200184944,7000
14,inf,COMPLETE,80,6,gelu,0.001465392892132019,1.0211537599753622e-07,0.9995795247027279,45.77653939062282,26720.989969385304,6000
15,inf,COMPLETE,64,5,gelu,0.0016866835756870933,5.363085520847915e-06,0.9997978562346068,81.70161813609181,17209.868576974408,7000
16,20.705125817319466,COMPLETE,96,5,gelu,0.001039963868239526,1.645617039670044e-06,0.9996356484821435,55.534765471504116,21669.498112656147,8000
17,inf,COMPLETE,80,5,gelu,0.0010796106874996542,2.4296794569581334e-06,0.9996881111783384,38.36908059019669,21508.70015927119,8000
18,inf,COMPLETE,96,6,tanh,0.003961382349881292,3.2861062857194673e-06,0.9997542531928223,51.45200965055021,26122.150144414107,8000
19,inf,COMPLETE,80,5,gelu,0.0024063222548880293,1.3697808216885438e-06,0.9996481467298947,26.108088299161537,22635.752921181356,7000
20,inf,COMPLETE,64,5,gelu,0.004943676607692191,9.556742419536877e-06,0.9996329456298498,38.288151885701254,19917.752773404238,6000
21,inf,COMPLETE,96,6,gelu,0.0011723799674125653,6.192228248809626e-07,0.9995567158524418,63.90076785483447,16853.189921096702,6500
